,0,1,2,3,4
0,34282,ресторан,Whole,31,40
1,34282,обслуживание,Service,96,118
2,34282,блюда,Food,301,307
3,34282,цезарь,Food,359,367
4,34282,пасту,Food,380,386
5,34282,блины,Food,387,394
6,34282,салат,Food,434,440
7,34282,блины,Food,462,468
8,34282,хлеб,Food,500,506
9,34282,пасту,Food,685,691
10,34282,пасту,Food,748,758
11,34282,сервис,Service,860,868
12,34282,ресторан,Whole,894,909
13,34282,поесть,Food,1031,1040
14,18983,ресторане,Whole,26,37
15,18983,еда,Food,64,68
16,18983,еда,Food,93,100
17,18983,китайских ресторанах,Whole,120,142
18,18983,рыба,Food,146,151
19,18983,мясо,Food,156,162
20,18983,вкус,Food,175,180
21,18983,соусом,Food,202,209
22,18983,десертов,Food,271,283
23,18983,мороженое с сыром гарганзолла,Food,302,333
24,18983,обслуживание,Service,378,391
25,18983,официанта,Service,407,417
26,18983,обстановка,Interior,458,469
27,18983,интерьер,Interior,470,487
28,18983,музыка,Interior,527,541
29,18983,заведении,Whole,648,664
30,28710,место,Whole,9,15
31,28710,ресторан,Whole,101,110
32,28710,ресторанов,Whole,111,123
33,28710,вечер,Whole,271,277
34,28710,интерьер,Interior,341,350
35,28710,диваны,Interior,490,497
36,28710,свечи,Interior,497,503
37,28710,вечер,Whole,572,582
38,28710,пианистка,Service,597,613
39,28710,персонал,Service,648,661
40,28710,встретила,Service,704,725
41,28710,официанты,Service,810,824
42,28710,ресторан,Whole,936,945
43,8759,интерьер,Interior,120,129
44,8759,стойку,Food,270,277
45,8759,заведении ресторана,Whole,316,337
46,8759,кухни,Food,357,363
47,8759,блюда,Food,400,406
48,8759,порции средних размеров,Food,444,469
49,8759,меню,Food,489,496
50,8759,выбор алкоголя,Food,559,574
51,8759,пива,Food,620,626
52,8759,виски,Food,627,633
53,8759,выпить,Food,651,659
54,8759,поесть,Food,660,668
55,8759,напитки,Food,692,709
56,8759,блюда,Food,717,728
57,8759,вечер,Whole,803,815
58,8759,заведение,Whole,864,874
59,33816,вид на залив из окна,Interior,63,84
60,33816,интерьер,Interior,96,109
